,Feat,Tfs,corpus_index
1538,bancos couro,145.0,575.0
1539,retrovisores elétricos,138.0,575.0
1540,chave reserva,146.0,578.0
1541,ar condicionado,360.0,580.0
1542,ipva pago,153.0,580.0
1543,desembaçador traseiro,187.0,580.0
1544,único dono,139.0,584.0
1545,ar condicionado,360.0,585.0
1546,vidros elétricos,208.0,585.0
1547,direção hidráulica,181.0,585.0
1548,ar condicionado,360.0,586.0
1549,computador bordo,210.0,586.0
1550,direção hidráulica,181.0,586.0
1551,desembaçador traseiro,187.0,586.0
1552,computador bordo,210.0,591.0
1553,rodas liga,207.0,591.0
1554,liga leve,202.0,591.0
1555,desembaçador traseiro,187.0,591.0
1556,freio abs,169.0,591.0
1557,direção elétrica,168.0,591.0
1558,regulagem altura,155.0,591.0
1559,retrovisores elétricos,138.0,591.0
1560,ar condicionado,360.0,593.0
1561,vidros elétricos,208.0,593.0
1562,direção hidráulica,181.0,593.0
1563,travas elétricas,159.0,593.0
1564,único dono,139.0,594.0
1565,computador bordo,210.0,597.0
1566,rodas liga,207.0,597.0
1567,liga leve,202.0,597.0
1568,ipva pago,153.0,597.0
1569,desembaçador traseiro,187.0,597.0
1570,freio abs,169.0,597.0
1571,único dono,139.0,597.0
1572,bancos couro,145.0,597.0
1573,ano cor,117.0,597.0
1574,computador bordo,210.0,598.0
1575,rodas liga,207.0,598.0
1576,liga leve,202.0,598.0
1577,ipva pago,153.0,598.0
1578,desembaçador traseiro,187.0,598.0
1579,freio abs,169.0,598.0
1580,único dono,139.0,598.0
1581,bancos couro,145.0,598.0
1582,ano cor,117.0,598.0
1583,rodas liga,207.0,599.0
1584,liga leve,202.0,599.0
1585,rodas liga,207.0,600.0
1586,liga leve,202.0,600.0
1587,travas elétricas,159.0,600.0
1588,ano cor,117.0,600.0
1589,retrovisores elétricos,138.0,600.0
1590,pneus novos,95.0,601.0
1591,chave reserva,146.0,602.0
1592,ar condicionado,360.0,603.0
1593,vidros elétricos,208.0,606.0
1594,direção hidráulica,181.0,606.0
1595,único dono,139.0,606.0
1596,travas elétricas,159.0,606.0
1597,bancos couro,145.0,606.0
1598,ipva pago,153.0,607.0
1599,único dono,139.0,607.0
1600,publicado revenda,71.0,612.0
1601,computador bordo,210.0,613.0
1602,chave reserva,146.0,614.0
1603,ar condicionado,360.0,618.0
1604,vidros elétricos,208.0,618.0
1605,direção hidráulica,181.0,618.0
1606,travas elétricas,159.0,618.0
1607,único dono,139.0,622.0
1608,ipva pago,153.0,623.0
1609,pneus novos,95.0,623.0
1610,ar condicionado,360.0,625.0
1611,vidros elétricos,208.0,625.0
1612,direção hidráulica,181.0,625.0
1613,ipva pago,153.0,625.0
1614,desembaçador traseiro,187.0,625.0
1615,air bag,165.0,625.0
1616,freio abs,169.0,625.0
1617,travas elétricas,159.0,625.0
1618,direção elétrica,168.0,625.0
1619,ar condicionado,360.0,626.0
1620,vidros elétricos,208.0,626.0
1621,direção hidráulica,181.0,626.0
1622,chave reserva,146.0,626.0
1623,único dono,139.0,626.0
1624,travas elétricas,159.0,626.0
1625,ar condicionado,360.0,627.0
1626,vidros elétricos,208.0,627.0
1627,rodas liga,207.0,627.0
1628,direção hidráulica,181.0,627.0
1629,travas elétricas,159.0,627.0
1630,retrovisores elétricos,138.0,627.0
1631,chave reserva,146.0,628.0
1632,publicado revenda,71.0,630.0
1633,ar condicionado,360.0,631.0
1634,computador bordo,210.0,631.0
1635,vidros elétricos,208.0,631.0
1636,rodas liga,207.0,631.0
1637,liga leve,202.0,631.0
1638,ipva pago,153.0,631.0
1639,desembaçador traseiro,187.0,631.0
1640,air bag,165.0,631.0
1641,freio abs,169.0,631.0
1642,único dono,139.0,631.0
1643,travas elétricas,159.0,631.0
1644,direção elétrica,168.0,631.0
1645,regulagem altura,155.0,631.0
1646,bancos couro,145.0,631.0
1647,retrovisores elétricos,138.0,631.0
1648,rodas liga,207.0,633.0
1649,liga leve,202.0,633.0
1650,desembaçador traseiro,187.0,633.0
1651,freio abs,169.0,633.0
1652,chave reserva,146.0,633.0
1653,direção elétrica,168.0,633.0
1654,regulagem altura,155.0,633.0
1655,bancos couro,145.0,633.0
1656,retrovisores elétricos,138.0,633.0
1657,desembaçador traseiro,187.0,634.0
1658,freio abs,169.0,634.0
1659,único dono,139.0,634.0
1660,direção elétrica,168.0,634.0
1661,ano cor,117.0,634.0
1662,ar condicionado,360.0,635.0
1663,computador bordo,210.0,635.0
1664,vidros elétricos,208.0,635.0
1665,rodas liga,207.0,635.0
1666,direção hidráulica,181.0,635.0
1667,liga leve,202.0,635.0
1668,desembaçador traseiro,187.0,635.0
1669,travas elétricas,159.0,635.0
1670,ar condicionado,360.0,638.0
1671,ipva pago,153.0,638.0
1672,desembaçador traseiro,187.0,638.0
1673,ano cor,117.0,638.0
1674,publicado revenda,71.0,641.0
1675,ar condicionado,360.0,642.0
1676,vidros elétricos,208.0,642.0
1677,rodas liga,207.0,642.0
1678,direção hidráulica,181.0,642.0
1679,liga leve,202.0,642.0
1680,desembaçador traseiro,187.0,642.0
1681,air bag,165.0,642.0
1682,travas elétricas,159.0,642.0
1683,regulagem altura,155.0,642.0
1684,bancos couro,145.0,642.0
1685,ar condicionado,360.0,643.0
1686,vidros elétricos,208.0,643.0
1687,rodas liga,207.0,643.0
1688,liga leve,202.0,643.0
1689,desembaçador traseiro,187.0,643.0
1690,air bag,165.0,643.0
1691,único dono,139.0,643.0
1692,direção elétrica,168.0,643.0
1693,bancos couro,145.0,643.0
1694,publicado revenda,71.0,645.0
1695,computador bordo,210.0,646.0
1696,rodas liga,207.0,646.0
1697,liga leve,202.0,646.0
1698,ipva pago,153.0,646.0
1699,desembaçador traseiro,187.0,646.0
1700,freio abs,169.0,646.0
1701,único dono,139.0,646.0
1702,direção elétrica,168.0,646.0
1703,regulagem altura,155.0,646.0
1704,ano cor,117.0,646.0
1705,retrovisores elétricos,138.0,646.0
1706,publicado revenda,71.0,648.0
1707,ar condicionado,360.0,649.0
1708,computador bordo,210.0,649.0
1709,vidros elétricos,208.0,649.0
1710,rodas liga,207.0,649.0
1711,direção hidráulica,181.0,649.0
1712,liga leve,202.0,649.0
1713,ipva pago,153.0,649.0
1714,desembaçador traseiro,187.0,649.0
1715,air bag,165.0,649.0
1716,freio abs,169.0,649.0
1717,travas elétricas,159.0,649.0
1718,regulagem altura,155.0,649.0
1719,retrovisores elétricos,138.0,649.0
1720,ar condicionado,360.0,652.0
1721,computador bordo,210.0,652.0
1722,vidros elétricos,208.0,652.0
1723,rodas liga,207.0,652.0
1724,direção hidráulica,181.0,652.0
1725,liga leve,202.0,652.0
1726,desembaçador traseiro,187.0,652.0
1727,air bag,165.0,652.0
1728,freio abs,169.0,652.0
1729,único dono,139.0,652.0
1730,travas elétricas,159.0,652.0
1731,direção elétrica,168.0,652.0
1732,regulagem altura,155.0,652.0
1733,retrovisores elétricos,138.0,652.0
1734,desembaçador traseiro,187.0,654.0
1735,freio abs,169.0,654.0
1736,ar condicionado,360.0,656.0
1737,computador bordo,210.0,656.0
1738,vidros elétricos,208.0,656.0
1739,publicado revenda,71.0,656.0
1740,direção hidráulica,181.0,656.0
1741,desembaçador traseiro,187.0,656.0
1742,computador bordo,210.0,657.0
1743,ar condicionado,360.0,658.0
1744,computador bordo,210.0,658.0
1745,rodas liga,207.0,658.0
1746,liga leve,202.0,658.0
1747,ipva pago,153.0,658.0
1748,desembaçador traseiro,187.0,658.0
1749,freio abs,169.0,658.0
1750,direção elétrica,168.0,658.0
1751,regulagem altura,155.0,658.0
1752,bancos couro,145.0,658.0
1753,ano cor,117.0,658.0
1754,retrovisores elétricos,138.0,658.0
1755,rodas liga,207.0,662.0
1756,pneus novos,95.0,662.0
1757,rodas liga,207.0,663.0
1758,liga leve,202.0,663.0
1759,pneus novos,95.0,663.0
1760,ar condicionado,360.0,664.0
1761,vidros elétricos,208.0,664.0
1762,rodas liga,207.0,664.0
1763,direção hidráulica,181.0,664.0
1764,liga leve,202.0,664.0
1765,desembaçador traseiro,187.0,664.0
1766,único dono,139.0,664.0
1767,travas elétricas,159.0,664.0
1768,publicado revenda,71.0,668.0
1769,ar condicionado,360.0,670.0
1770,vidros elétricos,208.0,670.0
1771,rodas liga,207.0,670.0
1772,direção hidráulica,181.0,670.0
1773,liga leve,202.0,670.0
1774,air bag,165.0,670.0
1775,freio abs,169.0,670.0
1776,único dono,139.0,670.0
1777,bancos couro,145.0,670.0
1778,publicado revenda,71.0,674.0
1779,publicado revenda,71.0,677.0
1780,ar condicionado,360.0,680.0
1781,desembaçador traseiro,187.0,680.0
1782,pneus novos,95.0,680.0
1783,publicado revenda,71.0,681.0
1784,ar condicionado,360.0,683.0
1785,direção hidráulica,181.0,683.0
1786,computador bordo,210.0,684.0
1787,publicado revenda,71.0,684.0
1788,ipva pago,153.0,684.0
1789,chave reserva,146.0,684.0
1790,direção elétrica,168.0,684.0
1791,regulagem altura,155.0,684.0
1792,ar condicionado,360.0,686.0
1793,computador bordo,210.0,686.0
1794,rodas liga,207.0,686.0
1795,liga leve,202.0,686.0
1796,ipva pago,153.0,686.0
1797,desembaçador traseiro,187.0,686.0
1798,freio abs,169.0,686.0
1799,direção elétrica,168.0,686.0
1800,regulagem altura,155.0,686.0
1801,bancos couro,145.0,686.0
1802,ano cor,117.0,686.0
1803,retrovisores elétricos,138.0,686.0
1804,único dono,139.0,687.0
1805,ano cor,117.0,693.0
1806,ar condicionado,360.0,695.0
1807,rodas liga,207.0,695.0
1808,publicado revenda,71.0,695.0
1809,air bag,165.0,695.0
1810,vidros elétricos,208.0,698.0
1811,chave reserva,146.0,698.0
1812,direção elétrica,168.0,698.0
1813,retrovisores elétricos,138.0,698.0
1814,pneus novos,95.0,699.0
1815,rodas liga,207.0,702.0
1816,air bag,165.0,702.0
1817,chave reserva,146.0,702.0
1818,direção elétrica,168.0,705.0
1819,rodas liga,207.0,706.0
1820,liga leve,202.0,706.0
1821,ar condicionado,360.0,709.0
1822,vidros elétricos,208.0,709.0
1823,air bag,165.0,709.0
1824,freio abs,169.0,709.0
1825,chave reserva,146.0,709.0
1826,único dono,139.0,709.0
1827,direção elétrica,168.0,709.0
1828,computador bordo,210.0,712.0
1829,freio abs,169.0,712.0
1830,regulagem altura,155.0,712.0
1831,computador bordo,210.0,713.0
1832,rodas liga,207.0,713.0
1833,liga leve,202.0,713.0
1834,desembaçador traseiro,187.0,713.0
1835,freio abs,169.0,713.0
1836,direção elétrica,168.0,713.0
1837,regulagem altura,155.0,713.0
1838,retrovisores elétricos,138.0,713.0
1839,ipva pago,153.0,714.0
1840,ar condicionado,360.0,715.0
1841,computador bordo,210.0,715.0
1842,publicado revenda,71.0,715.0
1843,direção elétrica,168.0,715.0
1844,único dono,139.0,716.0
1845,vidros elétricos,208.0,717.0
1846,ar condicionado,360.0,718.0
1847,computador bordo,210.0,718.0
1848,direção elétrica,168.0,718.0
1849,regulagem altura,155.0,718.0
1850,computador bordo,210.0,720.0
1851,rodas liga,207.0,720.0
1852,liga leve,202.0,720.0
1853,desembaçador traseiro,187.0,720.0
1854,freio abs,169.0,720.0
1855,regulagem altura,155.0,720.0
1856,retrovisores elétricos,138.0,720.0
1857,ipva pago,153.0,722.0
1858,desembaçador traseiro,187.0,722.0
1859,freio abs,169.0,722.0
1860,único dono,139.0,722.0
1861,ano cor,117.0,722.0
1862,ar condicionado,360.0,725.0
1863,rodas liga,207.0,725.0
1864,direção hidráulica,181.0,725.0
1865,liga leve,202.0,725.0
1866,desembaçador traseiro,187.0,725.0
1867,air bag,165.0,725.0
1868,freio abs,169.0,725.0
1869,chave reserva,146.0,725.0
1870,ar condicionado,360.0,726.0
1871,rodas liga,207.0,726.0
1872,ar condicionado,360.0,728.0
1873,computador bordo,210.0,728.0
1874,vidros elétricos,208.0,728.0
1875,direção hidráulica,181.0,728.0
1876,ipva pago,153.0,728.0
1877,air bag,165.0,728.0
1878,freio abs,169.0,728.0
1879,travas elétricas,159.0,728.0
1880,direção elétrica,168.0,728.0
1881,regulagem altura,155.0,728.0
1882,computador bordo,210.0,732.0
1883,rodas liga,207.0,732.0
1884,liga leve,202.0,732.0
1885,desembaçador traseiro,187.0,732.0
1886,freio abs,169.0,732.0
1887,direção elétrica,168.0,732.0
1888,regulagem altura,155.0,732.0
1889,retrovisores elétricos,138.0,732.0
1890,único dono,139.0,733.0
1891,único dono,139.0,734.0
1892,bancos couro,145.0,734.0
1893,pneus novos,95.0,734.0
1894,ar condicionado,360.0,738.0
1895,direção hidráulica,181.0,738.0
1896,pneus novos,95.0,740.0
1897,ano cor,117.0,743.0
1898,pneus novos,95.0,743.0
1899,único dono,139.0,744.0
1900,ar condicionado,360.0,745.0
1901,direção hidráulica,181.0,745.0
1902,ar condicionado,360.0,747.0
1903,direção hidráulica,181.0,747.0
1904,computador bordo,210.0,749.0
1905,ipva pago,153.0,749.0
1906,desembaçador traseiro,187.0,749.0
1907,freio abs,169.0,749.0
1908,único dono,139.0,749.0
1909,ano cor,117.0,749.0
1910,ar condicionado,360.0,751.0
1911,computador bordo,210.0,751.0
1912,rodas liga,207.0,751.0
1913,liga leve,202.0,751.0
1914,desembaçador traseiro,187.0,751.0
1915,regulagem altura,155.0,751.0
1916,bancos couro,145.0,751.0
1917,retrovisores elétricos,138.0,751.0
1918,pneus novos,95.0,751.0
1919,ar condicionado,360.0,752.0
1920,computador bordo,210.0,752.0
1921,vidros elétricos,208.0,752.0
1922,rodas liga,207.0,752.0
1923,liga leve,202.0,752.0
1924,desembaçador traseiro,187.0,752.0
1925,air bag,165.0,752.0
1926,chave reserva,146.0,752.0
1927,travas elétricas,159.0,752.0
1928,direção elétrica,168.0,752.0
1929,ar condicionado,360.0,753.0
1930,computador bordo,210.0,753.0
1931,publicado revenda,71.0,753.0
1932,chave reserva,146.0,753.0
1933,direção elétrica,168.0,753.0
1934,pneus novos,95.0,754.0
1935,computador bordo,210.0,755.0
1936,desembaçador traseiro,187.0,755.0
1937,freio abs,169.0,755.0
1938,direção elétrica,168.0,755.0
1939,retrovisores elétricos,138.0,755.0
1940,ar condicionado,360.0,756.0
1941,vidros elétricos,208.0,756.0
1942,desembaçador traseiro,187.0,756.0
1943,travas elétricas,159.0,756.0
1944,ar condicionado,360.0,757.0
1945,vidros elétricos,208.0,757.0
1946,rodas liga,207.0,757.0
1947,air bag,165.0,757.0
1948,travas elétricas,159.0,757.0
1949,direção elétrica,168.0,757.0
1950,publicado revenda,71.0,759.0
1951,computador bordo,210.0,760.0
1952,rodas liga,207.0,760.0
1953,liga leve,202.0,760.0
1954,freio abs,169.0,760.0
1955,direção elétrica,168.0,760.0
1956,regulagem altura,155.0,760.0
1957,ano cor,117.0,760.0
1958,retrovisores elétricos,138.0,760.0
1959,ar condicionado,360.0,765.0
1960,vidros elétricos,208.0,765.0
1961,freio abs,169.0,765.0
1962,direção elétrica,168.0,765.0
1963,ar condicionado,360.0,766.0
1964,rodas liga,207.0,766.0
1965,liga leve,202.0,766.0
1966,air bag,165.0,766.0
1967,chave reserva,146.0,766.0
1968,bancos couro,145.0,766.0
1969,retrovisores elétricos,138.0,766.0
1970,chave reserva,146.0,770.0
1971,ar condicionado,360.0,771.0
1972,rodas liga,207.0,771.0
1973,direção hidráulica,181.0,771.0
1974,liga leve,202.0,771.0
1975,desembaçador traseiro,187.0,771.0
1976,air bag,165.0,771.0
1977,freio abs,169.0,771.0
1978,ar condicionado,360.0,772.0
1979,vidros elétricos,208.0,772.0
1980,direção hidráulica,181.0,772.0
1981,travas elétricas,159.0,772.0
1982,ar condicionado,360.0,773.0
1983,rodas liga,207.0,773.0
1984,liga leve,202.0,773.0
1985,travas elétricas,159.0,773.0
1986,direção elétrica,168.0,773.0
1987,bancos couro,145.0,773.0
1988,ar condicionado,360.0,774.0
1989,computador bordo,210.0,774.0
1990,vidros elétricos,208.0,774.0
1991,rodas liga,207.0,774.0
1992,direção hidráulica,181.0,774.0
1993,liga leve,202.0,774.0
1994,desembaçador traseiro,187.0,774.0
1995,air bag,165.0,774.0
1996,freio abs,169.0,774.0
1997,travas elétricas,159.0,774.0
1998,regulagem altura,155.0,774.0
1999,retrovisores elétricos,138.0,774.0
2000,ar condicionado,360.0,775.0
2001,direção elétrica,168.0,775.0
2002,ar condicionado,360.0,776.0
2003,vidros elétricos,208.0,776.0
2004,air bag,165.0,776.0
2005,travas elétricas,159.0,776.0
2006,único dono,139.0,777.0
2007,direção elétrica,168.0,778.0
2008,ar condicionado,360.0,781.0
2009,vidros elétricos,208.0,781.0
2010,direção hidráulica,181.0,781.0
2011,desembaçador traseiro,187.0,781.0
2012,travas elétricas,159.0,781.0
2013,retrovisores elétricos,138.0,781.0
2014,ar condicionado,360.0,783.0
2015,direção hidráulica,181.0,783.0
2016,ar condicionado,360.0,784.0
2017,vidros elétricos,208.0,784.0
2018,rodas liga,207.0,784.0
2019,publicado revenda,71.0,784.0
2020,liga leve,202.0,784.0
2021,único dono,139.0,784.0
2022,publicado revenda,71.0,785.0
2023,ar condicionado,360.0,786.0
2024,vidros elétricos,208.0,786.0
2025,rodas liga,207.0,786.0
2026,liga leve,202.0,786.0
2027,desembaçador traseiro,187.0,786.0
2028,travas elétricas,159.0,786.0
2029,ipva pago,153.0,787.0
2030,ar condicionado,360.0,788.0
2031,computador bordo,210.0,788.0
2032,air bag,165.0,788.0
2033,freio abs,169.0,788.0
2034,direção elétrica,168.0,788.0
2035,ar condicionado,360.0,790.0
2036,computador bordo,210.0,790.0
2037,vidros elétricos,208.0,790.0
2038,rodas liga,207.0,790.0
2039,direção hidráulica,181.0,790.0
2040,liga leve,202.0,790.0
2041,ipva pago,153.0,790.0
2042,desembaçador traseiro,187.0,790.0
2043,air bag,165.0,790.0
2044,freio abs,169.0,790.0
2045,regulagem altura,155.0,790.0
2046,pneus novos,95.0,791.0
2047,rodas liga,207.0,792.0
2048,liga leve,202.0,792.0
2049,ipva pago,153.0,794.0
2050,bancos couro,145.0,794.0
2051,pneus novos,95.0,794.0
2052,pneus novos,95.0,795.0
2053,vidros elétricos,208.0,798.0
2054,rodas liga,207.0,798.0
2055,liga leve,202.0,798.0
2056,ar condicionado,360.0,799.0
2057,rodas liga,207.0,799.0
2058,liga leve,202.0,799.0
2059,único dono,139.0,799.0
2060,regulagem altura,155.0,799.0
2061,chave reserva,146.0,800.0
2062,pneus novos,95.0,802.0
2063,ar condicionado,360.0,803.0
2064,vidros elétricos,208.0,803.0
2065,direção hidráulica,181.0,803.0
2066,liga leve,202.0,803.0
2067,retrovisores elétricos,138.0,803.0
2068,pneus novos,95.0,803.0
2069,desembaçador traseiro,187.0,810.0
2070,direção elétrica,168.0,810.0
2071,regulagem altura,155.0,810.0
2072,retrovisores elétricos,138.0,810.0
2073,ar condicionado,360.0,812.0
2074,computador bordo,210.0,812.0
2075,rodas liga,207.0,812.0
2076,liga leve,202.0,812.0
2077,desembaçador traseiro,187.0,812.0
2078,freio abs,169.0,812.0
2079,direção elétrica,168.0,812.0
2080,regulagem altura,155.0,812.0
2081,bancos couro,145.0,812.0
2082,ano cor,117.0,812.0
2083,retrovisores elétricos,138.0,812.0
2084,direção hidráulica,181.0,813.0
2085,chave reserva,146.0,814.0
2086,bancos couro,145.0,815.0
2087,ar condicionado,360.0,816.0
2088,computador bordo,210.0,816.0
2089,rodas liga,207.0,816.0
2090,liga leve,202.0,816.0
2091,ipva pago,153.0,816.0
2092,desembaçador traseiro,187.0,816.0
2093,direção elétrica,168.0,816.0
2094,regulagem altura,155.0,816.0
2095,bancos couro,145.0,816.0
2096,ano cor,117.0,816.0
2097,retrovisores elétricos,138.0,816.0
2098,rodas liga,207.0,817.0
2099,bancos couro,145.0,817.0
2100,pneus novos,95.0,817.0
2101,ar condicionado,360.0,818.0
2102,vidros elétricos,208.0,818.0
2103,direção hidráulica,181.0,818.0
2104,pneus novos,95.0,818.0
2105,publicado revenda,71.0,819.0
2106,ar condicionado,360.0,820.0
2107,ar condicionado,360.0,821.0
2108,chave reserva,146.0,821.0
2109,computador bordo,210.0,822.0
2110,ipva pago,153.0,822.0
2111,desembaçador traseiro,187.0,822.0
2112,freio abs,169.0,822.0
2113,direção elétrica,168.0,822.0
2114,ano cor,117.0,822.0
2115,ipva pago,153.0,823.0
2116,desembaçador traseiro,187.0,823.0
2117,freio abs,169.0,823.0
2118,único dono,139.0,823.0
2119,ano cor,117.0,823.0
2120,único dono,139.0,825.0
2121,ar condicionado,360.0,826.0
2122,ar condicionado,360.0,827.0
2123,computador bordo,210.0,827.0
2124,vidros elétricos,208.0,827.0
2125,publicado revenda,71.0,827.0
2126,direção hidráulica,181.0,827.0
2127,ar condicionado,360.0,828.0
2128,computador bordo,210.0,828.0
2129,vidros elétricos,208.0,828.0
2130,travas elétricas,159.0,828.0
2131,direção elétrica,168.0,828.0
2132,regulagem altura,155.0,828.0
2133,vidros elétricos,208.0,829.0
2134,rodas liga,207.0,829.0
2135,liga leve,202.0,829.0
2136,travas elétricas,159.0,829.0
2137,bancos couro,145.0,829.0
2138,retrovisores elétricos,138.0,829.0
2139,computador bordo,210.0,830.0
2140,freio abs,169.0,830.0
2141,ano cor,117.0,830.0
2142,ar condicionado,360.0,831.0
2143,computador bordo,210.0,831.0
2144,travas elétricas,159.0,831.0
2145,direção elétrica,168.0,831.0
2146,bancos couro,145.0,831.0
2147,retrovisores elétricos,138.0,831.0
2148,ar condicionado,360.0,832.0
2149,regulagem altura,155.0,832.0
2150,computador bordo,210.0,833.0
2151,rodas liga,207.0,833.0
2152,liga leve,202.0,833.0
2153,desembaçador traseiro,187.0,833.0
2154,freio abs,169.0,833.0
2155,direção elétrica,168.0,833.0
2156,regulagem altura,155.0,833.0
2157,bancos couro,145.0,833.0
2158,ano cor,117.0,833.0
2159,ar condicionado,360.0,835.0
2160,rodas liga,207.0,836.0
2161,bancos couro,145.0,836.0
2162,ar condicionado,360.0,837.0
2163,direção elétrica,168.0,837.0
2164,ar condicionado,360.0,839.0
2165,computador bordo,210.0,839.0
2166,vidros elétricos,208.0,839.0
2167,rodas liga,207.0,839.0
2168,liga leve,202.0,839.0
2169,desembaçador traseiro,187.0,839.0
2170,air bag,165.0,839.0
2171,travas elétricas,159.0,839.0
2172,direção elétrica,168.0,839.0
2173,regulagem altura,155.0,839.0
2174,retrovisores elétricos,138.0,839.0
2175,ar condicionado,360.0,840.0
2176,vidros elétricos,208.0,840.0
2177,desembaçador traseiro,187.0,840.0
2178,travas elétricas,159.0,840.0
2179,regulagem altura,155.0,840.0
2180,retrovisores elétricos,138.0,840.0
2181,ar condicionado,360.0,843.0
2182,vidros elétricos,208.0,843.0
2183,direção hidráulica,181.0,843.0
2184,pneus novos,95.0,843.0
2185,ar condicionado,360.0,845.0
2186,computador bordo,210.0,845.0
2187,vidros elétricos,208.0,845.0
2188,ipva pago,153.0,845.0
2189,chave reserva,146.0,845.0
2190,travas elétricas,159.0,845.0
2191,regulagem altura,155.0,845.0
2192,ipva pago,153.0,847.0
2193,bancos couro,145.0,847.0
2194,ar condicionado,360.0,848.0
2195,vidros elétricos,208.0,848.0
2196,direção hidráulica,181.0,848.0
2197,ipva pago,153.0,848.0
2198,bancos couro,145.0,848.0
2199,ar condicionado,360.0,850.0
2200,vidros elétricos,208.0,850.0
2201,ar condicionado,360.0,855.0
2202,rodas liga,207.0,855.0
2203,publicado revenda,71.0,855.0
2204,direção hidráulica,181.0,855.0
2205,liga leve,202.0,855.0
2206,desembaçador traseiro,187.0,855.0
2207,air bag,165.0,855.0
2208,bancos couro,145.0,856.0
2209,pneus novos,95.0,856.0
2210,rodas liga,207.0,857.0
2211,liga leve,202.0,857.0
2212,bancos couro,145.0,857.0
2213,ar condicionado,360.0,858.0
2214,computador bordo,210.0,858.0
2215,vidros elétricos,208.0,858.0
2216,rodas liga,207.0,858.0
2217,direção hidráulica,181.0,858.0
2218,liga leve,202.0,858.0
2219,desembaçador traseiro,187.0,858.0
2220,air bag,165.0,858.0
2221,freio abs,169.0,858.0
2222,travas elétricas,159.0,858.0
2223,regulagem altura,155.0,858.0
2224,bancos couro,145.0,858.0
2225,retrovisores elétricos,138.0,858.0
2226,ar condicionado,360.0,859.0
2227,computador bordo,210.0,859.0
2228,vidros elétricos,208.0,859.0
2229,publicado revenda,71.0,859.0
2230,direção elétrica,168.0,859.0
2231,único dono,139.0,861.0
2232,ar condicionado,360.0,862.0
2233,computador bordo,210.0,862.0
2234,vidros elétricos,208.0,862.0
2235,air bag,165.0,862.0
2236,freio abs,169.0,862.0
2237,chave reserva,146.0,862.0
2238,travas elétricas,159.0,862.0
2239,direção elétrica,168.0,862.0
2240,ar condicionado,360.0,863.0
2241,direção hidráulica,181.0,863.0
2242,air bag,165.0,863.0
2243,ar condicionado,360.0,864.0
2244,computador bordo,210.0,864.0
2245,vidros elétricos,208.0,864.0
2246,rodas liga,207.0,864.0
2247,direção hidráulica,181.0,864.0
2248,liga leve,202.0,864.0
2249,chave reserva,146.0,864.0
2250,travas elétricas,159.0,864.0
2251,pneus novos,95.0,864.0
2252,ipva pago,153.0,866.0
2253,air bag,165.0,867.0
2254,chave reserva,146.0,867.0
2255,único dono,139.0,867.0
2256,bancos couro,145.0,867.0
2257,bancos couro,145.0,868.0
2258,computador bordo,210.0,870.0
2259,ipva pago,153.0,870.0
2260,desembaçador traseiro,187.0,870.0
2261,freio abs,169.0,870.0
2262,único dono,139.0,870.0
2263,ano cor,117.0,870.0
2264,retrovisores elétricos,138.0,870.0
2265,ar condicionado,360.0,873.0
2266,vidros elétricos,208.0,873.0
2267,direção hidráulica,181.0,873.0
2268,desembaçador traseiro,187.0,873.0
2269,chave reserva,146.0,873.0
2270,travas elétricas,159.0,873.0
2271,ar condicionado,360.0,874.0
2272,computador bordo,210.0,874.0
2273,vidros elétricos,208.0,874.0
2274,direção hidráulica,181.0,874.0
2275,ipva pago,153.0,874.0
2276,desembaçador traseiro,187.0,874.0
2277,air bag,165.0,874.0
2278,freio abs,169.0,874.0
2279,travas elétricas,159.0,874.0
2280,retrovisores elétricos,138.0,874.0
2281,ar condicionado,360.0,875.0
2282,vidros elétricos,208.0,875.0
2283,publicado revenda,71.0,875.0
2284,direção hidráulica,181.0,875.0
2285,desembaçador traseiro,187.0,875.0
2286,único dono,139.0,877.0
2287,ar condicionado,360.0,878.0
2288,vidros elétricos,208.0,878.0
2289,liga leve,202.0,878.0
2290,ipva pago,153.0,878.0
2291,único dono,139.0,878.0
2292,direção elétrica,168.0,878.0
2293,regulagem altura,155.0,878.0
2294,retrovisores elétricos,138.0,878.0
2295,pneus novos,95.0,878.0
2296,computador bordo,210.0,882.0
2297,rodas liga,207.0,882.0
2298,liga leve,202.0,882.0
2299,desembaçador traseiro,187.0,882.0
2300,freio abs,169.0,882.0
2301,único dono,139.0,882.0
2302,ano cor,117.0,882.0
2303,retrovisores elétricos,138.0,882.0
2304,ar condicionado,360.0,883.0
2305,direção hidráulica,181.0,883.0
2306,travas elétricas,159.0,883.0
2307,ar condicionado,360.0,884.0
2308,rodas liga,207.0,884.0
2309,direção hidráulica,181.0,884.0
2310,liga leve,202.0,884.0
2311,bancos couro,145.0,884.0
2312,ar condicionado,360.0,885.0
2313,vidros elétricos,208.0,885.0
2314,direção hidráulica,181.0,885.0
2315,ar condicionado,360.0,886.0
2316,rodas liga,207.0,886.0
2317,liga leve,202.0,886.0
2318,air bag,165.0,886.0
2319,freio abs,169.0,886.0
2320,chave reserva,146.0,886.0
2321,direção elétrica,168.0,886.0
2322,regulagem altura,155.0,886.0
2323,bancos couro,145.0,886.0
2324,ar condicionado,360.0,890.0
2325,computador bordo,210.0,890.0
2326,vidros elétricos,208.0,890.0
2327,rodas liga,207.0,890.0
2328,direção hidráulica,181.0,890.0
2329,liga leve,202.0,890.0
