,Feat,Tfs,corpus_index
1033,chave reserva,146.0,377.0
1034,ar condicionado,360.0,378.0
1035,direção hidráulica,181.0,378.0
1036,desembaçador traseiro,187.0,378.0
1037,ar condicionado,360.0,380.0
1038,vidros elétricos,208.0,380.0
1039,direção hidráulica,181.0,380.0
1040,liga leve,202.0,380.0
1041,computador bordo,210.0,383.0
1042,ipva pago,153.0,383.0
1043,desembaçador traseiro,187.0,383.0
1044,freio abs,169.0,383.0
1045,único dono,139.0,383.0
1046,direção elétrica,168.0,383.0
1047,regulagem altura,155.0,383.0
1048,ano cor,117.0,383.0
1049,retrovisores elétricos,138.0,383.0
1050,ar condicionado,360.0,384.0
1051,computador bordo,210.0,384.0
1052,rodas liga,207.0,384.0
1053,liga leve,202.0,384.0
1054,ipva pago,153.0,384.0
1055,desembaçador traseiro,187.0,384.0
1056,freio abs,169.0,384.0
1057,único dono,139.0,384.0
1058,direção elétrica,168.0,384.0
1059,regulagem altura,155.0,384.0
1060,bancos couro,145.0,384.0
1061,ano cor,117.0,384.0
1062,retrovisores elétricos,138.0,384.0
1063,ar condicionado,360.0,385.0
1064,vidros elétricos,208.0,385.0
1065,direção hidráulica,181.0,385.0
1066,ipva pago,153.0,385.0
1067,air bag,165.0,385.0
1068,freio abs,169.0,385.0
1069,travas elétricas,159.0,385.0
1070,único dono,139.0,388.0
1071,ar condicionado,360.0,389.0
1072,vidros elétricos,208.0,389.0
1073,direção hidráulica,181.0,389.0
1074,travas elétricas,159.0,389.0
1075,ar condicionado,360.0,390.0
1076,computador bordo,210.0,390.0
1077,vidros elétricos,208.0,390.0
1078,rodas liga,207.0,390.0
1079,direção hidráulica,181.0,390.0
1080,liga leve,202.0,390.0
1081,ipva pago,153.0,390.0
1082,desembaçador traseiro,187.0,390.0
1083,air bag,165.0,390.0
1084,freio abs,169.0,390.0
1085,travas elétricas,159.0,390.0
1086,direção elétrica,168.0,390.0
1087,regulagem altura,155.0,390.0
1088,retrovisores elétricos,138.0,390.0
1089,bancos couro,145.0,391.0
1090,ar condicionado,360.0,392.0
1091,desembaçador traseiro,187.0,392.0
1092,freio abs,169.0,392.0
1093,chave reserva,146.0,392.0
1094,direção elétrica,168.0,392.0
1095,regulagem altura,155.0,392.0
1096,bancos couro,145.0,392.0
1097,ano cor,117.0,392.0
1098,computador bordo,210.0,393.0
1099,rodas liga,207.0,393.0
1100,liga leve,202.0,393.0
1101,ipva pago,153.0,393.0
1102,desembaçador traseiro,187.0,393.0
1103,freio abs,169.0,393.0
1104,único dono,139.0,393.0
1105,bancos couro,145.0,393.0
1106,ano cor,117.0,393.0
1107,ar condicionado,360.0,395.0
1108,computador bordo,210.0,395.0
1109,rodas liga,207.0,395.0
1110,liga leve,202.0,395.0
1111,desembaçador traseiro,187.0,395.0
1112,freio abs,169.0,395.0
1113,direção elétrica,168.0,395.0
1114,bancos couro,145.0,395.0
1115,ano cor,117.0,395.0
1116,retrovisores elétricos,138.0,395.0
1117,bancos couro,145.0,396.0
1118,retrovisores elétricos,138.0,396.0
1119,chave reserva,146.0,397.0
1120,único dono,139.0,398.0
1121,único dono,139.0,399.0
1122,vidros elétricos,208.0,400.0
1123,direção hidráulica,181.0,400.0
1124,chave reserva,146.0,400.0
1125,travas elétricas,159.0,400.0
1126,pneus novos,95.0,400.0
1127,ar condicionado,360.0,401.0
1128,computador bordo,210.0,401.0
1129,ipva pago,153.0,401.0
1130,bancos couro,145.0,401.0
1131,computador bordo,210.0,402.0
1132,ipva pago,153.0,402.0
1133,desembaçador traseiro,187.0,402.0
1134,freio abs,169.0,402.0
1135,único dono,139.0,402.0
1136,ano cor,117.0,402.0
1137,publicado revenda,71.0,407.0
1138,computador bordo,210.0,408.0
1139,desembaçador traseiro,187.0,408.0
1140,freio abs,169.0,408.0
1141,ar condicionado,360.0,410.0
1142,computador bordo,210.0,410.0
1143,rodas liga,207.0,410.0
1144,liga leve,202.0,410.0
1145,ipva pago,153.0,410.0
1146,desembaçador traseiro,187.0,410.0
1147,freio abs,169.0,410.0
1148,direção elétrica,168.0,410.0
1149,regulagem altura,155.0,410.0
1150,bancos couro,145.0,410.0
1151,ano cor,117.0,410.0
1152,retrovisores elétricos,138.0,410.0
1153,chave reserva,146.0,412.0
1154,único dono,139.0,412.0
1155,ano cor,117.0,413.0
1156,ar condicionado,360.0,415.0
1157,computador bordo,210.0,415.0
1158,ar condicionado,360.0,416.0
1159,computador bordo,210.0,416.0
1160,rodas liga,207.0,416.0
1161,ipva pago,153.0,416.0
1162,desembaçador traseiro,187.0,416.0
1163,freio abs,169.0,416.0
1164,travas elétricas,159.0,416.0
1165,direção elétrica,168.0,416.0
1166,regulagem altura,155.0,416.0
1167,ano cor,117.0,416.0
1168,retrovisores elétricos,138.0,416.0
1169,pneus novos,95.0,416.0
1170,ar condicionado,360.0,418.0
1171,air bag,165.0,418.0
1172,ar condicionado,360.0,419.0
1173,direção hidráulica,181.0,419.0
1174,desembaçador traseiro,187.0,419.0
1175,air bag,165.0,419.0
1176,chave reserva,146.0,419.0
1177,regulagem altura,155.0,419.0
1178,ipva pago,153.0,420.0
1179,ipva pago,153.0,421.0
1180,desembaçador traseiro,187.0,421.0
1181,freio abs,169.0,421.0
1182,regulagem altura,155.0,421.0
1183,ano cor,117.0,421.0
1184,rodas liga,207.0,423.0
1185,liga leve,202.0,423.0
1186,freio abs,169.0,423.0
1187,direção elétrica,168.0,423.0
1188,bancos couro,145.0,423.0
1189,ano cor,117.0,423.0
1190,retrovisores elétricos,138.0,423.0
1191,publicado revenda,71.0,424.0
1192,ar condicionado,360.0,426.0
1193,direção hidráulica,181.0,426.0
1194,travas elétricas,159.0,426.0
1195,ar condicionado,360.0,427.0
1196,direção hidráulica,181.0,427.0
1197,ar condicionado,360.0,428.0
1198,direção hidráulica,181.0,428.0
1199,bancos couro,145.0,428.0
1200,ar condicionado,360.0,430.0
1201,direção hidráulica,181.0,430.0
1202,ipva pago,153.0,430.0
1203,travas elétricas,159.0,430.0
1204,pneus novos,95.0,430.0
1205,publicado revenda,71.0,434.0
1206,rodas liga,207.0,435.0
1207,ar condicionado,360.0,436.0
1208,rodas liga,207.0,436.0
1209,direção hidráulica,181.0,436.0
1210,liga leve,202.0,436.0
1211,bancos couro,145.0,436.0
1212,pneus novos,95.0,436.0
1213,ar condicionado,360.0,437.0
1214,computador bordo,210.0,437.0
1215,rodas liga,207.0,437.0
1216,liga leve,202.0,437.0
1217,chave reserva,146.0,437.0
1218,direção elétrica,168.0,437.0
1219,regulagem altura,155.0,437.0
1220,bancos couro,145.0,437.0
1221,retrovisores elétricos,138.0,437.0
1222,ar condicionado,360.0,438.0
1223,computador bordo,210.0,438.0
1224,rodas liga,207.0,438.0
1225,liga leve,202.0,438.0
1226,bancos couro,145.0,438.0
1227,ipva pago,153.0,439.0
1228,publicado revenda,71.0,440.0
1229,chave reserva,146.0,440.0
1230,publicado revenda,71.0,441.0
1231,publicado revenda,71.0,445.0
1232,direção elétrica,168.0,447.0
1233,regulagem altura,155.0,447.0
1234,bancos couro,145.0,447.0
1235,ar condicionado,360.0,448.0
1236,chave reserva,146.0,448.0
1237,direção elétrica,168.0,450.0
1238,regulagem altura,155.0,450.0
1239,bancos couro,145.0,450.0
1240,ar condicionado,360.0,451.0
1241,chave reserva,146.0,451.0
1242,ar condicionado,360.0,452.0
1243,chave reserva,146.0,452.0
1244,ar condicionado,360.0,454.0
1245,travas elétricas,159.0,454.0
1246,computador bordo,210.0,455.0
1247,rodas liga,207.0,455.0
1248,liga leve,202.0,455.0
1249,freio abs,169.0,455.0
1250,direção elétrica,168.0,455.0
1251,regulagem altura,155.0,455.0
1252,bancos couro,145.0,455.0
1253,ano cor,117.0,455.0
1254,publicado revenda,71.0,456.0
1255,ar condicionado,360.0,464.0
1256,computador bordo,210.0,464.0
1257,rodas liga,207.0,464.0
1258,liga leve,202.0,464.0
1259,desembaçador traseiro,187.0,464.0
1260,freio abs,169.0,464.0
1261,direção elétrica,168.0,464.0
1262,regulagem altura,155.0,464.0
1263,bancos couro,145.0,464.0
1264,ano cor,117.0,464.0
1265,retrovisores elétricos,138.0,464.0
1266,ar condicionado,360.0,465.0
1267,chave reserva,146.0,465.0
1268,ar condicionado,360.0,466.0
1269,vidros elétricos,208.0,466.0
1270,direção hidráulica,181.0,466.0
1271,chave reserva,146.0,466.0
1272,travas elétricas,159.0,466.0
1273,computador bordo,210.0,470.0
1274,ipva pago,153.0,470.0
1275,desembaçador traseiro,187.0,470.0
1276,freio abs,169.0,470.0
1277,único dono,139.0,470.0
1278,ano cor,117.0,470.0
1279,ar condicionado,360.0,471.0
1280,computador bordo,210.0,471.0
1281,rodas liga,207.0,471.0
1282,liga leve,202.0,471.0
1283,desembaçador traseiro,187.0,471.0
1284,freio abs,169.0,471.0
1285,direção elétrica,168.0,471.0
1286,regulagem altura,155.0,471.0
1287,bancos couro,145.0,471.0
1288,ano cor,117.0,471.0
1289,retrovisores elétricos,138.0,471.0
1290,travas elétricas,159.0,472.0
1291,ano cor,117.0,473.0
1292,computador bordo,210.0,475.0
1293,rodas liga,207.0,475.0
1294,liga leve,202.0,475.0
1295,desembaçador traseiro,187.0,475.0
1296,freio abs,169.0,475.0
1297,direção elétrica,168.0,475.0
1298,ano cor,117.0,475.0
1299,chave reserva,146.0,477.0
1300,pneus novos,95.0,477.0
1301,ar condicionado,360.0,478.0
1302,direção hidráulica,181.0,478.0
